Report Builder

"Principal Place of Performance State Code","Is Vendor Business Type - Economically Disadvantaged Women Owned Small Business","Is Vendor Business Type - Women Owned Small Business","NAICS Code","NAICS Description","Base and All Options Value (Total Contract Value)"
"AK","NO","NO","325120","INDUSTRIAL GAS MANUFACTURING","$697,554.64"
"AK","NO","NO","325180","OTHER BASIC INORGANIC CHEMICAL MANUFACTURING","$25,942.65"
"AK","NO","NO","325199","ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING","$175,646.16"
"AK","NO","NO","325314","FERTILIZER (MIXING ONLY) MANUFACTURING","$19,963.35"
"AK","NO","NO","325413","IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING","$113.26"
"AK","NO","NO","325611","SOAP AND OTHER DETERGENT MANUFACTURING","$61,125.22"
"AK","NO","NO","325992","PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING","$10,558.85"
"AK","NO","NO","325998","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING","$2,234,662.19"
"AK","NO","NO","326122","PLASTICS PIPE AND PIPE FITTING MANUFACTURING","$145,556.07"
"AK","NO","NO","326140","POLYSTYRENE FOAM PRODUCT MANUFACTURING","$1,052.10"
"AK","NO","NO","326191","PLASTICS PLUMBING FIXTURE MANUFACTURING","$16,898.26"
"AK","NO","NO","326199","ALL OTHER PLASTICS PRODUCT MANUFACTURING","$90,467.71"
"AK","NO","NO","326220","RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING","$0.00"
"AK","NO","NO","326299","ALL OTHER RUBBER PRODUCT MANUFACTURING","$327,164.04"
"AK","NO","NO","327320","READY-MIX CONCRETE MANUFACTURING","$130,000.00"
"AK","NO","NO","327390","OTHER CONCRETE PRODUCT MANUFACTURING","$13,645.00"
"AK","NO","NO","327991","CUT STONE AND STONE PRODUCT MANUFACTURING","$2,020.00"
"AK","NO","NO","331221","ROLLED STEEL SHAPE MANUFACTURING","$1,935.00"
"AK","NO","NO","332216","SAW BLADE AND HANDTOOL MANUFACTURING","$49,267.68"
"AK","NO","NO","332311","PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING","$894,266.13"
"AK","NO","NO","332312","FABRICATED STRUCTURAL METAL MANUFACTURING","$355,571.80"
"AK","NO","NO","332321","METAL WINDOW AND DOOR MANUFACTURING","$32,427.34"
"AK","NO","NO","332323","ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING","$10,762.84"
"AK","NO","NO","332439","OTHER METAL CONTAINER MANUFACTURING","$74,654.70"
"AK","NO","NO","332510","HARDWARE MANUFACTURING","$225,089.01"
"AK","NO","NO","332618","OTHER FABRICATED WIRE PRODUCT MANUFACTURING","$53,125.51"
"AK","NO","NO","332710","MACHINE SHOPS","$33,000.00"
"AK","NO","NO","332722","BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING","$25,812.91"
"AK","NO","NO","332911","INDUSTRIAL VALVE MANUFACTURING","$5,868.10"
"AK","NO","NO","332913","PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING","$880.75"
"AK","NO","NO","332991","BALL AND ROLLER BEARING MANUFACTURING","$5,862.58"
"AK","NO","NO","332992","SMALL ARMS AMMUNITION MANUFACTURING","$4,627.12"
"AK","NO","NO","332994","SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING","$48,061.33"
"AK","NO","NO","332996","FABRICATED PIPE AND PIPE FITTING MANUFACTURING","$0.00"
"AK","NO","NO","332999","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING","$336,427.76"
"AK","NO","NO","333112","LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING","$50,951.35"
"AK","NO","NO","333120","CONSTRUCTION MACHINERY MANUFACTURING","$2,864,686.42"
"AK","NO","NO","333241","FOOD PRODUCT MACHINERY MANUFACTURING","$284,018.29"
"AK","NO","NO","333243","SAWMILL, WOODWORKING, AND PAPER MACHINERY MANUFACTURING","$54,054.50"
"AK","NO","NO","333244","PRINTING MACHINERY AND EQUIPMENT MANUFACTURING","$11,999.00"
"AK","NO","NO","333249","OTHER INDUSTRIAL MACHINERY MANUFACTURING","$283,591.18"
"AK","NO","NO","333313","OFFICE MACHINERY MANUFACTURING","$0.00"
"AK","NO","NO","333314","OPTICAL INSTRUMENT AND LENS MANUFACTURING","$30,635.36"
"AK","NO","NO","333316","PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING","$74,090.01"
"AK","NO","NO","333318","OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING","$764,703.90"
"AK","NO","NO","333319","OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING","$50,568.11"
"AK","NO","NO","333414","HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING","$2,950.00"
"AK","NO","NO","333415","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING","$57,844.01"
"AK","NO","NO","333517","MACHINE TOOL MANUFACTURING","$0.00"
"AK","NO","NO","333611","TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING","$39,440.00"
"AK","NO","NO","333613","MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING","$8,024.26"
"AK","NO","NO","333618","OTHER ENGINE EQUIPMENT MANUFACTURING","$84,842.01"
"AK","NO","NO","333911","PUMP AND PUMPING EQUIPMENT MANUFACTURING","$0.00"
"AK","NO","NO","333912","AIR AND GAS COMPRESSOR MANUFACTURING","$132,862.44"
"AK","NO","NO","333914","MEASURING, DISPENSING, AND OTHER PUMPING EQUIPMENT MANUFACTURING","$28,274.62"
"AK","NO","NO","333921","ELEVATOR AND MOVING STAIRWAY MANUFACTURING","$33,436.72"
"AK","NO","NO","333922","CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING","$0.00"
"AK","NO","NO","333924","INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING","$155,663.75"
"AK","NO","NO","333991","POWER-DRIVEN HANDTOOL MANUFACTURING","$0.00"
"AK","NO","NO","333992","WELDING AND SOLDERING EQUIPMENT MANUFACTURING","$1,440.00"
"AK","NO","NO","333994","INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING","$72,038.00"
"AK","NO","NO","333996","FLUID POWER PUMP AND MOTOR MANUFACTURING","$29,104.91"
"AK","NO","NO","333999","ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING","$12,470,503.03"
"AK","NO","NO","334111","ELECTRONIC COMPUTER MANUFACTURING","$6,886,030.26"
"AK","NO","NO","334112","COMPUTER STORAGE DEVICE MANUFACTURING","$60,455.33"
"AK","NO","NO","334118","COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING","$304,606.73"
"AK","NO","NO","334119","OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING","$0.00"
"AK","NO","NO","334210","TELEPHONE APPARATUS MANUFACTURING","$1,543,980.23"
"AK","NO","NO","334220","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","$1,641,111.47"
"AK","NO","NO","334290","OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING","$1,819,946.60"
"AK","NO","NO","334310","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","$325,586.27"
"AK","NO","NO","334413","SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING","$59,834.00"
"AK","NO","NO","334416","CAPACITOR, RESISTOR, COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING","$77,660.27"
"AK","NO","NO","334417","ELECTRONIC CONNECTOR MANUFACTURING","$15,819.18"
"AK","NO","NO","334419","OTHER ELECTRONIC COMPONENT MANUFACTURING","$751,000.73"
"AK","NO","NO","334510","ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING","$0.00"
"AK","NO","NO","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","$655,601.50"
"AK","NO","NO","334513","INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES","$485,073.99"
"AK","NO","NO","334515","INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS","$133,299.68"
"AK","NO","NO","334516","ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING","$2,151,635.83"
"AK","NO","NO","334517","IRRADIATION APPARATUS MANUFACTURING","$21,119.88"
"AK","NO","NO","334519","OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING","$594,465.07"
"AK","NO","NO","334614","SOFTWARE AND OTHER PRERECORDED COMPACT DISC, TAPE, AND RECORD REPRODUCING","$95,581.95"
"AK","NO","NO","335122","COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING","$166,719.89"
"AK","NO","NO","335311","POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING","$0.00"
"AK","NO","NO","335312","MOTOR AND GENERATOR MANUFACTURING","$83,530.82"
"AK","NO","NO","335313","SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING","$86,652.64"
"AK","NO","NO","335314","RELAY AND INDUSTRIAL CONTROL MANUFACTURING","$40,477.44"
"AK","NO","NO","335911","STORAGE BATTERY MANUFACTURING","$82,323.79"
"AK","NO","NO","335912","PRIMARY BATTERY MANUFACTURING","$2,763.89"
"AK","NO","NO","335921","FIBER OPTIC CABLE MANUFACTURING","$15,638.00"
"AK","NO","NO","335929","OTHER COMMUNICATION AND ENERGY WIRE MANUFACTURING","$494,200.00"
"AK","NO","NO","335931","CURRENT-CARRYING WIRING DEVICE MANUFACTURING","$7,641.92"
"AK","NO","NO","335991","CARBON AND GRAPHITE PRODUCT MANUFACTURING","$956.19"
"AK","NO","NO","335999","ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING","$27,847.30"
"AK","NO","NO","336112","LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING","$1,080,939.56"
"AK","NO","NO","336120","HEAVY DUTY TRUCK MANUFACTURING","$5,564,550.18"
"AK","NO","NO","336212","TRUCK TRAILER MANUFACTURING","$45,544.96"
"AK","NO","NO","336214","TRAVEL TRAILER AND CAMPER MANUFACTURING","$0.00"
"AK","NO","NO","336310","MOTOR VEHICLE GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING","$112,989.64"
"AK","NO","NO","336320","MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING","$0.00"
"AK","NO","NO","336350","MOTOR VEHICLE TRANSMISSION AND POWER TRAIN PARTS MANUFACTURING","$22,750.00"
"AK","NO","NO","336390","OTHER MOTOR VEHICLE PARTS MANUFACTURING","$19,374.48"
"AK","NO","NO","336411","AIRCRAFT MANUFACTURING","$33,500,479.51"
"AK","NO","NO","336412","AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING","$0.00"
"AK","NO","NO","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","$1,192,068.71"
"AK","NO","NO","336415","GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING","$0.00"
"AK","NO","NO","336611","SHIP BUILDING AND REPAIRING","$22,263,311.20"
"AK","NO","NO","336612","BOAT BUILDING","$3,765,535.69"
"AK","NO","NO","336991","MOTORCYCLE, BICYCLE, AND PARTS MANUFACTURING","$87,094.38"
"AK","NO","NO","336992","MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING","$58,522.25"
"AK","NO","NO","336999","ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING","$264,356.25"
"AK","NO","NO","337122","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING","$424,140.64"
"AK","NO","NO","337127","INSTITUTIONAL FURNITURE MANUFACTURING","$650,726.64"
"AK","NO","NO","337211","WOOD OFFICE FURNITURE MANUFACTURING","$1,804,970.85"
"AK","NO","NO","337214","OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING","$750,379.85"
"AK","NO","NO","337215","SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING","$83,691.98"
"AK","NO","NO","337910","MATTRESS MANUFACTURING","$73,700.00"
"AK","NO","NO","337920","BLIND AND SHADE MANUFACTURING","$63,789.00"
"AK","NO","NO","339111","LABORATORY APPARATUS AND FURNITURE MANUFACTURING","$24,989.00"
"AK","NO","NO","339112","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING","$256,755.63"
"AK","NO","NO","339113","SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING","$2,340,849.02"
"AK","NO","NO","339920","SPORTING AND ATHLETIC GOODS MANUFACTURING","$115,929.53"
"AK","NO","NO","339940","OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING","$12,044.00"
"AK","NO","NO","339944","CARBON PAPER AND INKED RIBBON MANUFACTURING","$36,972.22"
"AK","NO","NO","339950","SIGN MANUFACTURING","$264,565.98"
"AK","NO","NO","339991","GASKET, PACKING, AND SEALING DEVICE MANUFACTURING","$62,973.62"
"AK","NO","NO","339999","ALL OTHER MISCELLANEOUS MANUFACTURING","$169,449.49"
"AK","NO","NO","423120","MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS","$0.00"
"AK","NO","NO","423320","BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS","$45,820.97"
"AK","NO","NO","423430","COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS","$46,217.85"
"AK","NO","NO","423450","MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS","$191,376.53"
"AK","NO","NO","423610","ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS","$36,443.00"
"AK","NO","NO","423710","HARDWARE MERCHANT WHOLESALERS","$11,923.74"
"AK","NO","NO","423740","REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS","$11,725.00"
"AK","NO","NO","423830","INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS","$44,352.39"
"AK","NO","NO","423910","SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS","$42,798.00"
"AK","NO","NO","423990","OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS","$35,108.79"
"AK","NO","NO","424710","PETROLEUM BULK STATIONS AND TERMINALS","$2,769.10"
"AK","NO","NO","424720","PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS)","$25,340.00"
"AK","NO","NO","425120","WHOLESALE TRADE AGENTS AND BROKERS","$259,988.00"
"AK","NO","NO","441222","BOAT DEALERS","$11,460.22"
"AK","NO","NO","441228","MOTORCYCLE, ATV, AND ALL OTHER MOTOR VEHICLE DEALERS","$271,812.98"
"AK","NO","NO","441310","AUTOMOTIVE PARTS AND ACCESSORIES STORES","$48,120.00"
"AK","NO","NO","441320","TIRE DEALERS","$14,589.00"
"AK","NO","NO","442210","FLOOR COVERING STORES","$33,289.95"
"AK","NO","NO","443120","COMPUTER AND SOFTWARE STORES","$37,422.71"
"AK","NO","NO","444130","HARDWARE STORES","$80,329.83"
"AK","NO","NO","444190","OTHER BUILDING MATERIAL DEALERS","$68,960.18"
"AK","NO","NO","452319","ALL OTHER GENERAL MERCHANDISE STORES","$8,474.90"
"AK","NO","NO","454310","FUEL DEALERS","$26,997.03"
"AK","NO","NO","481111","SCHEDULED PASSENGER AIR TRANSPORTATION","$7,800.00"
"AK","NO","NO","481112","SCHEDULED FREIGHT AIR TRANSPORTATION","$22,183.72"
"AK","NO","NO","481211","NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION","$35,698,821.77"
"AK","NO","NO","481212","NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION","$9,887,421.53"
"AK","NO","NO","483111","DEEP SEA FREIGHT TRANSPORTATION","$14,434,495.03"
"AK","NO","NO","483113","COASTAL AND GREAT LAKES FREIGHT TRANSPORTATION","$66,638.94"
"AK","NO","NO","483114","COASTAL AND GREAT LAKES PASSENGER TRANSPORTATION","$1,580,438.52"
"AK","NO","NO","483211","INLAND WATER FREIGHT TRANSPORTATION","$973,555.58"
"AK","NO","NO","483212","INLAND WATER PASSENGER TRANSPORTATION","$0.00"
"AK","NO","NO","484110","GENERAL FREIGHT TRUCKING, LOCAL","$9,200.00"
"AK","NO","NO","484121","GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD","$62,874.00"
"AK","NO","NO","484210","USED HOUSEHOLD AND OFFICE GOODS MOVING","$1,527,692.45"
"AK","NO","NO","485999","ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION","$7,240.00"
"AK","NO","NO","488119","OTHER AIRPORT OPERATIONS","$71,800.00"
"AK","NO","NO","488190","OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION","$23,232,209.71"
"AK","NO","NO","488310","PORT AND HARBOR OPERATIONS","$3,228,485.91"
"AK","NO","NO","488320","MARINE CARGO HANDLING","$638,888.56"
"AK","NO","NO","488330","NAVIGATIONAL SERVICES TO SHIPPING","$16,054,736.24"
"AK","NO","NO","488390","OTHER SUPPORT ACTIVITIES FOR WATER TRANSPORTATION","$242,007.78"
"AK","NO","NO","488490","OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION","$251,228.15"
"AK","NO","NO","488510","FREIGHT TRANSPORTATION ARRANGEMENT","$38,805.00"
"AK","NO","NO","488991","PACKING AND CRATING","$21,900.00"
"AK","NO","NO","488999","ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION","$931.07"
"AK","NO","NO","491110","POSTAL SERVICE","$1,509,730.68"
"AK","NO","NO","492110","COURIERS AND EXPRESS DELIVERY SERVICES","$122,270.99"
"AK","NO","NO","492210","LOCAL MESSENGERS AND LOCAL DELIVERY","$11,125.53"
"AK","NO","NO","493110","GENERAL WAREHOUSING AND STORAGE","$17,049.15"
"AK","NO","NO","493120","REFRIGERATED WAREHOUSING AND STORAGE","$0.00"
"AK","NO","NO","493190","OTHER WAREHOUSING AND STORAGE","$5,727,745.36"
"AK","NO","NO","511110","NEWSPAPER PUBLISHERS","$405,000.00"
"AK","NO","NO","511120","PERIODICAL PUBLISHERS","$60,000.00"
"AK","NO","NO","511130","BOOK PUBLISHERS","$22,005.77"
"AK","NO","NO","511199","ALL OTHER PUBLISHERS","$0.00"
"AK","NO","NO","511210","SOFTWARE PUBLISHERS","$886,099.17"
"AK","NO","NO","512110","MOTION PICTURE AND VIDEO PRODUCTION","$118,150.00"
"AK","NO","NO","515111","RADIO NETWORKS","$40,827.55"
"AK","NO","NO","515210","CABLE AND OTHER SUBSCRIPTION PROGRAMMING","$12,993.48"
"AK","NO","NO","517110","WIRED TELECOMMUNICATIONS CARRIERS","$3,228,964.34"
"AK","NO","NO","517210","WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE)","$119,026.24"
"AK","NO","NO","517311","WIRED TELECOMMUNICATIONS CARRIERS","$1,964,252.70"
"AK","NO","NO","517312","WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE)","$1,199,434.89"
"AK","NO","NO","517410","SATELLITE TELECOMMUNICATIONS","$1,847,245.98"
"AK","NO","NO","517910","OTHER TELECOMMUNICATIONS","$3,251,548.49"
"AK","NO","NO","517911","TELECOMMUNICATIONS RESELLERS","$165,847.96"
"AK","NO","NO","518111","INTERNET SERVICE PROVIDERS","$56,933.73"
"AK","NO","NO","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","$44,000,266.63"
"AK","NO","NO","519130","INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS","$4,800.00"
"AK","NO","NO","519190","ALL OTHER INFORMATION SERVICES","$19,908.72"
"AK","NO","NO","524292","THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS","$5,016,341,965.21"
"AK","NO","NO","531110","LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS","$78,073.80"
"AK","NO","NO","531120","LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)","$53,088.00"
"AK","NO","NO","531130","LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS","$85,742.00"
"AK","NO","NO","531190","LESSORS OF OTHER REAL ESTATE PROPERTY","$33,835.15"
"AK","NO","NO","531210","OFFICES OF REAL ESTATE AGENTS AND BROKERS","$14,133.00"
"AK","NO","NO","531320","OFFICES OF REAL ESTATE APPRAISERS","$3,127,308.52"
"AK","NO","NO","532111","PASSENGER CAR RENTAL","$188,614.74"
"AK","NO","NO","532112","PASSENGER CAR LEASING","$13,661.32"
"AK","NO","NO","532120","TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING","$132,413.01"
"AK","NO","NO","532310","GENERAL RENTAL CENTERS","$224,555.62"
"AK","NO","NO","532411","COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING","$491,128.20"
"AK","NO","NO","532412","CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING","$294,795.24"
"AK","NO","NO","532420","OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING","$78,583.55"
